Company,Location,Number_laid_off,Layoff_date,Percent,Industry,Stage,Money_raised_mm,Date_reported,,,,,
Gemini,New York City,,1/23/23,10,Crypto,Unknown,423,1/23/23,,,,,
Yext,New York City,,1/23/23,8,Marketing,IPO,117,1/23/23,,,,,
Innovaccer,SF Bay Area,245,1/24/23,15,Healthcare,Series E,379,1/24/23,,,,,
PagerDuty,SF Bay Area,,1/24/23,7,Product,IPO,173,1/24/23,,,,,
Vacasa,Portland,1300,1/24/23,17,Travel,IPO,834,1/24/23,,,,,
Bolt,SF Bay Area,50,1/24/23,10,Finance,Series E,1300,1/24/23,,,,,
Namogoo,Tel Aviv,20,1/23/23,15,Marketing,Series C,69,1/24/23,,,,,
Uber Freight,SF Bay Area,150,1/23/23,3,Logistics,Subsidiary,2700,1/24/23,,,,,
Innovid,New York City,40,1/23/23,10,Marketing,IPO,295,1/24/23,,,,,
Ermetic,SF Bay Area,30,1/23/23,17,Security,Series B,97,1/24/23,,,,,
Morning Consult,Washington DC,,1/20/23,,Data,Series B,91,1/24/23,,,,,
TikTok,Los Angeles,,1/20/23,,Consumer,Acquired,,1/24/23,,,,,
IBM,New York City,3900,1/25/23,2,Hardware,IPO,,1/25/23,,,,,
SirionLabs,Seattle,130,1/25/23,15,Legal,Series D,171,1/25/23,,,,,
Guardant Health,SF Bay Area,130,1/25/23,7,Healthcare,IPO,550,1/25/23,,,,,
Clear Capital,Reno,250,1/25/23,25,Real Estate,Unknown,,1/25/23,,,,,
Corvus Insurance,Boston,,1/24/23,14,Finance,Series C,160,1/25/23,,,,,
Icon,Austin,,1/24/23,,Construction,Series B,451,1/25/23,,,,,
Lucid Diagnostics,New York City,,1/18/23,20,Healthcare,IPO,,1/25/23,,,,,
Confluent,SF Bay Area,221,1/26/23,8,Data,IPO,455,1/26/23,,,,,
Noom,New York City,,1/25/23,,Fitness,Series F,657,1/26/23,,,,,
Shutterfly,SF Bay Area,360,1/25/23,,Retail,Acquired,50,1/26/23,,,,,
Plus One Robotics ,San Antonio,,1/26/23,10,Other,Series B,43,1/27/23,,,,,
Quora,SF Bay Area,,1/26/23,,Consumer,Series D,226,1/27/23,,,,,
Oracle,SF Bay Area,,1/17/23,,Other,IPO,,1/27/23,,,,,
CoinTracker,SF Bay Area,19,1/28/23,,Crypto,Series A,101,1/28/23,,,,,
Synopsys,SF Bay Area,100,1/27/23,,Other,IPO,,1/28/23,,,,,
Decent,SF Bay Area,,1/27/23,,Healthcare,Series A,18,1/28/23,,,,,
OFFOR Health,Columbus,16,1/24/23,,Healthcare,Series A,14,1/28/23,,,,,
Nate,SF Bay Area,,1/27/23,,Retail,Series A,47,1/29/23,,,,,
Earth Rides ,Nashville,,1/19/23,100,Transportation,Unknown,2,1/29/23,,,,,Qualcomm
Impossible Foods,SF Bay Area,140,1/30/23,20,Food,Series H,1900,1/30/23,,,,,TuSimple
SoFi,SF Bay Area,,1/30/23,,Finance,IPO,3000,1/30/23,,,,,Xiaomi
Groupon,Chicago,500,1/30/23,,Retail,IPO,1400,1/30/23,,,,,Health IQ
Intel,SF Bay Area,343,1/30/23,,Hardware,IPO,12,1/30/23,,,,,Homebot
NetApp,SF Bay Area,960,1/31/23,8,Data,IPO,,1/31/23,,,,,SonderMind
HubSpot,Boston,500,1/31/23,7,Marketing,Series E,100,1/31/23,,,,,Autograph
Workday,SF Bay Area,525,1/31/23,3,HR,IPO,230,1/31/23,,,,,
Upstart,SF Bay Area,365,1/31/23,20,Finance,IPO,144,1/31/23,,,,,
PayPal,SF Bay Area,2000,1/31/23,7,Finance,IPO,216,1/31/23,,,,,
BM Technologies,Philadelphia,,1/30/23,25,Finance,IPO,,2/1/23,,,,,
Oyster,Charlotte,,1/30/23,,HR,Series C,224,2/1/23,,,,,
LeafLink,New York City,80,12/15/22,31,Other,Series C,379,2/1/23,,,,,
Prime Trust,Las Vegas,,1/30/23,33,Crypto,Series B,176,2/1/23,,,,,
Wish,SF Bay Area,150,1/31/23,17,Retail,IPO,1600,2/1/23,,,,,
CareRev,Los Angeles,,1/25/23,,Retail,Series A,51,2/1/23,,,,,
Ruggable,Los Angeles,100,1/27/23,,Retail,Seed,,2/1/23,,,,,
Splunk,SF Bay Area,325,2/1/23,4,Data,Post-IPO,2400,2/1/23,,,,,
Tilting Point,New York City,60,1/31/23,14,Consumer,Unknown,235,2/1/23,,,,,
Rivian,Detroit,,2/1/23,6,Transportation,Post-IPO,10700,2/1/23,,,,,
Lam Research,SF Bay Area,1300,1/25/23,7,Hardware,Post-IPO,,2/1/23,,,,,
DraftKings,Boston,140,2/1/23,4,Consumer,Post-IPO,719,2/1/23,,,,,
DriveWealth,Jersey City,,1/26/23,,Finance,Series D,550,2/1/23,,,,,
Wheel,Austin,56,2/1/23,28,Healthcare,Series C,215,2/1/23,,,,,
Exterro,Portland,24,2/1/23,3,Legal,Private Equity,100,2/1/23,,,,,
Pinterest,SF Bay Area,150,2/1/23,,Consumer,Post-IPO,1500,2/1/23,,,,,
Match Group,New York City,,2/1/23,8,Consumer,Post-IPO,,2/1/23,,,,,
Chainalysis,New York City,44,2/1/23,5,Crypto,Series F,536,2/1/23,,,,,
Okta,SF Bay Area,300,2/2/23,5,Other,Post-IPO,1200,2/2/23,,,,,
Miro,SF Bay Area,119,2/2/23,7,Other,Series C,476,2/2/23,,,,,
Cyren,Washington DC,121,2/1/23,,Security,Post-IPO,161,2/2/23,,,,,
Quantum SI,New Haven,,1/30/23,12,Healthcare,Post-IPO,425,2/2/23,,,,,
Omnipresent,London,,2/1/23,,HR,Series B,137,2/2/23,,,,,
Bittrex,Seattle,80,2/2/23,,Crypto,Unknown,,2/2/23,,,,,
Articulate,New York City,38,2/2/23,,,Series A,1500,2/2/23,,,,,
Highspot,Seattle,100,2/2/23,10,Sales,Series F,644,2/2/23,,,,,
Desktop Metal,Boston,,2/2/23,,Other,Post-IPO,811,2/2/23,,,,,
Mindstrong,SF Bay Area,127,2/2/23,,Healthcare,Series C,160,2/2/23,,,,,
Bustle Digital Group,New York City,,2/1/23,8,Media,Series E,80,2/2/23,,,,,
TheSkimm,New York City,17,2/1/23,10,Media,Series C,28,2/2/23,,,,,
Getaround,SF Bay Area,,2/2/23,10,Transportation,Post-IPO,948,2/2/23,,,,,
Snowplow,London,40,2/2/23,,Data,Series B,55,2/3/23,,,,,
Autodesk,SF Bay Area,250,2/2/23,2,Other,Post-IPO,,2/3/23,,,,,
Protocol Labs,SF Bay Area,89,2/3/23,20,Crypto,Unknown,10,2/3/23,,,,,
National Instruments ,Austin,,1/31/23,4,Hardware,Post-IPO,,2/4/23,,,,,
Getir,New York City,100,2/2/23,,Food,Series E,1800,2/4/23,,,,,
Dell,,,,,,,,,,,,,
Talkdesk,,,,,,,,,,,,,
Kyruus,,,,,,,,,,,,,
BitTorrent,,,,,,,,,,,,,
Drift,,,,,,,,,,,,,
Workato,,,,,,,,,,,,,
Clari,,,,,,,,,,,,,
SecureWorks,,,,,,,,,,,,,
Zoom,,,,,,,,,,,,,
eBay,,,,,,,,,,,,,
Gusto,,,,,,,,,,,,,
Salesloft,,,,,,,,,,,,,
Sana Benefits,,,,,,,,,,,,,
VinFast US,,,,,,,,,,,,,
Gong,,,,,,,,,,,,,
Affirm,,,,,,,,,,,,,
GoDaddy,,,,,,,,,,,,,
Equitybee,,,,,,,,,,,,,
GitLab,,,,,,,,,,,,,
GitHub,,,,,,,,,,,,,
Yahoo,,,,,,,,,,,,,
